Time,CaSSavg,CaJSRavg,JRyRtot,PRyR_open,PRyR_ready,PNorm_mode,PnotVinact,PLType_open,CaToT2,PIto2_open,CaJSRtot,CaSStot
11.752,0.000231999,0.939059,1.0858e-05,0.0007,0.3842,0.994833,0.923833,0,11.014,0.00166667,0.000805995,6.02249
11.753,0.000228919,0.939134,9.83723e-06,0.000633333,0.385067,0.995,0.924167,0,11.0138,0.00166667,0.000802944,6.02271
11.754,0.000227657,0.939216,9.80915e-06,0.000633333,0.385833,0.995,0.924333,0,11.0135,0.00116667,0.000799044,6.02296
11.755,0.000226688,0.939299,9.85366e-06,0.000633333,0.3865,0.994667,0.924333,0,11.0133,0.00116667,0.000797866,6.02321
11.756,0.000211628,0.939396,6.76789e-06,0.000433333,0.3874,0.994667,0.924333,0,11.0131,0.00116667,0.000785072,6.0235
11.757,0.00020852,0.939503,6.25047e-06,0.0004,0.388333,0.994667,0.9245,0,11.0129,0.00116667,0.000777062,6.02382
11.758,0.000204455,0.939613,5.72064e-06,0.000366667,0.389,0.994833,0.924667,0,11.0127,0.000833333,0.000771766,6.02416
11.759,0.00020155,0.939725,5.23305e-06,0.000333333,0.3898,0.995167,0.925,0,11.0125,0.0015,0.000768723,6.0245
11.76,0.000200811,0.939836,5.21006e-06,0.000333333,0.3905,0.995333,0.925333,0,11.0123,0.00216667,0.000766435,6.02483
11.761,0.000200354,0.939945,5.23819e-06,0.000333333,0.3915,0.995167,0.925333,0,11.0121,0.0005,0.000767062,6.02516
11.762,0.000200071,0.940053,5.22382e-06,0.000333333,0.391967,0.994833,0.9255,0,11.0119,0.00133333,0.000765996,6.02549
11.763,0.000195141,0.940163,4.1574e-06,0.000266667,0.392667,0.995,0.926,0,11.0117,0.00116667,0.000759315,6.02582
11.764,0.000196444,0.940274,4.6227e-06,0.0003,0.3933,0.995,0.926167,0,11.0115,0.001,0.000756756,6.02615
11.765,0.000196133,0.940382,4.61583e-06,0.0003,0.393867,0.9955,0.9265,0,11.0113,0.00133333,0.000755617,6.02648
11.766,0.000198693,0.940485,5.19003e-06,0.000333333,0.394433,0.9955,0.9265,0,11.0111,0.000666667,0.000755558,6.02678
11.767,0.000195725,0.940586,4.64288e-06,0.0003,0.3954,0.995667,0.9265,0,11.0109,0.0005,0.00075338,6.02709
11.768,0.000190123,0.940698,3.5937e-06,0.000233333,0.396067,0.995667,0.9265,0,11.0107,0.001,0.00074483,6.02742
11.769,0.000189337,0.940808,3.57884e-06,0.000233333,0.396667,0.995833,0.9275,0,11.0105,0.000833333,0.000742209,6.02775
11.77,0.000186212,0.940921,3.05503e-06,0.0002,0.397567,0.995833,0.927667,0,11.0103,0.001,0.000739048,6.02809
11.771,0.000188331,0.94103,3.56281e-06,0.000233333,0.398067,0.996,0.927833,0,11.0101,0.00166667,0.000738833,6.02842
11.772,0.000188107,0.941136,3.55063e-06,0.000233333,0.398967,0.996,0.928,0,11.0099,0.00116667,0.000737888,6.02873
11.773,0.000185389,0.941244,3.0679e-06,0.0002,0.3997,0.996,0.928333,0,11.0097,0.000833333,0.000735396,6.02905
11.774,0.000184706,0.94135,3.1327e-06,0.0002,0.400333,0.996167,0.928333,0,11.0096,0.00116667,0.000735972,6.02937
11.775,0.000185392,0.941455,3.1284e-06,0.0002,0.401167,0.996167,0.928333,0,11.0094,0.0015,0.000736823,6.02969
11.776,0.000185617,0.941555,3.12608e-06,0.0002,0.4017,0.996,0.928667,0,11.0092,0.0015,0.000737001,6.02999
11.777,0.000180028,0.941663,2.09053e-06,0.000133333,0.402333,0.996167,0.928833,0,11.009,0.000833333,0.000728398,6.03031
11.778,0.000178901,0.941773,2.08864e-06,0.000133333,0.403333,0.996333,0.929333,0,11.0088,0.001,0.000724606,6.03064
11.779,0.000184769,0.941876,3.76244e-06,0.000233333,0.404067,0.996167,0.9295,0,11.0086,0.000833333,0.000729727,6.03095
11.78,0.000192313,0.941962,4.84412e-06,0.0003,0.404933,0.996333,0.929833,0,11.0084,0.0015,0.00073736,6.03121
11.781,0.000195881,0.942044,5.93071e-06,0.000366667,0.4058,0.996333,0.93,0,11.0082,0.001,0.000740966,6.03145
