Time,V,mNa,hNa,jNa,Nai,Ki,Cai,CaNSR,xKs,LTRPNCa,HTRPNCa,C0Kv43,C1Kv43,C2Kv43,C3Kv43,OKv43,CI0Kv43,CI1Kv43,CI2Kv43,CI3Kv43,OIKv43,C0Kv14,C1Kv14,C2Kv14,C3Kv14,OKv14,CI0Kv14,CI1Kv14,CI2Kv14,CI3Kv14,OIKv14,CaToT,C1Herg,C2Herg,C3Herg,OHerg,IHerg
10.041,28.779865,0.99975932,2.044191e-09,7.3956671e-05,10.659261,131.84892,0.00090619844,0.85847752,0.13254197,0.34917766,0.98573813,2.004743e-09,4.6980027e-07,4.0969593e-05,0.0015691549,0.023686599,0,3.2293016e-09,4.9072662e-06,0.0039383977,0.97007482,0,0,2.9713614e-08,4.4090962e-05,0.023995371,3.2362632e-10,-1.0657109e-06,1.1285824e-06,2.0573949e-05,0.97581089,11.135303,0.11708302,0.39663413,0.055362809,0.13288696,0.29803308
10.042,28.853623,0.99976166,2.0079018e-09,5.3304805e-05,10.65915,131.84885,0.00093018441,0.8534159,0.13684099,0.35960917,0.98595134,1.7192358e-09,4.0590063e-07,3.566239e-05,0.0013762395,0.020927917,0,3.1253933e-09,4.8123117e-06,0.0039210734,0.97304921,0,0,2.6106674e-08,3.9168366e-05,0.021576436,-3.2002279e-10,1.0643813e-06,-1.1257474e-06,2.0531758e-05,0.97823492,11.139225,0.11339568,0.38803859,0.054162853,0.13428616,0.31011671
10.043,28.654728,0.9997565,2.0688927e-09,3.841149e-05,10.659039,131.84878,0.00095268502,0.84843089,0.14111409,0.3698291,0.98616749,1.5533851e-09,3.6466232e-07,3.1860698e-05,0.001222863,0.018484256,0,3.2409815e-09,4.9463147e-06,0.0039922444,0.97557879,0,0,2.4070574e-08,3.5711525e-05,0.019457454,3.2648374e-10,-1.0653666e-06,1.1282152e-06,2.0697241e-05,0.98035707,11.14305,0.1102349,0.37920752,0.053006519,0.13565235,0.32189871
10.044,28.380222,0.99974946,2.1532187e-09,2.7665664e-05,10.65893,131.84872,0.0009742198,0.84353897,0.14535584,0.3798063,0.98638607,1.4588593e-09,3.3725992e-07,2.9018878e-05,0.0010968939,0.016323727,0,3.428917e-09,5.1459365e-06,0.0040842347,0.97777596,0,0,2.2743447e-08,3.2993171e-05,0.017600388,-3.3418997e-10,1.0639297e-06,-1.1252102e-06,2.1341826e-05,0.98221633,11.146684,0.10768078,0.37012042,0.051861752,0.13703837,0.33329868
10.045,27.993276,0.99973929,2.2793983e-09,1.9911487e-05,10.658822,131.84866,0.00099573202,0.83874137,0.14956278,0.38953728,0.98660686,1.4151538e-09,3.1957231e-07,2.6859982e-05,0.00099178189,0.014414884,0,3.7183894e-09,5.4433177e-06,0.0042117246,0.97966431,0,0,2.1948409e-08,3.0874312e-05,0.015972119,3.466307e-10,-1.0646604e-06,1.127523e-06,2.19388e-05,0.983846,11.150361,0.10573122,0.36081099,0.050717707,0.13848072,0.34425936
10.046,27.914795,0.99973711,2.3146809e-09,1.4757645e-05,10.658724,131.8486,0.0010151547,0.8344707,0.15335966,0.39816786,0.98680922,1.3550475e-09,3.0080057e-07,2.485083e-05,0.00090180399,0.012884572,0,3.8453844e-09,5.560991e-06,0.0042438817,0.98125435,0,0,2.0832053e-08,2.8818315e-05,0.01466798,3.4945557e-10,-1.0659965e-06,1.1289706e-06,2.2356354e-05,0.98515178,11.153793,0.10423694,0.3524186,0.049645988,0.13980723,0.35389124
10.047,27.899524,0.99973633,2.3271546e-09,1.0936945e-05,10.658627,131.84854,0.0010342065,0.83030106,0.15713809,0.40657775,0.98701258,1.2465857e-09,2.7483113e-07,2.2550215e-05,0.00081276464,0.011533768,0,3.8742e-09,5.5944279e-06,0.0042589316,0.98268144,0,0,1.9335152e-08,2.6640346e-05,0.013513794,3.5136284e-10,-1.067779e-06,1.1308687e-06,2.2489195e-05,0.98630801,11.157157,0.10264056,0.34440601,0.048556399,0.1410548,0.36334223
10.048,27.804941,0.99973421,2.348526e-09,8.1051234e-06,10.658531,131.84849,0.0010529098,0.82623438,0.16089808,0.41475993,0.98721664,1.1343173e-09,2.4911662e-07,2.0362877e-05,0.00073123803,0.010335732,0,3.9107812e-09,5.6370608e-06,0.0042885884,0.98393351,0,0,1.7977016e-08,2.4688348e-05,0.012492183,3.5311635e-10,-1.0665976e-06,1.1296235e-06,2.2603101e-05,0.98733146,11.160425,0.10097213,0.33669974,0.047489966,0.1422295,0.37260866
10.049,27.609991,0.99972864,2.4170947e-09,6.0045689e-06,10.658435,131.84844,0.0010714616,0.82226615,0.16463525,0.42272471,0.98742137,1.058279e-09,2.3011394e-07,1.8624689e-05,0.00066232574,0.0092661839,0,4.0660206e-09,5.7937665e-06,0.0043580682,0.98500409,0,0,1.7134858e-08,2.3203924e-05,0.011586834,3.6029688e-10,-1.0683399e-06,1.1314824e-06,2.2961294e-05,0.98823794,11.1637,0.099447793,0.32907922,0.04646954,0.14340612,0.38159733
10.05,27.543238,0.99972662,2.4471142e-09,4.4470662e-06,10.65834,131.84838,0.0010896567,0.81839962,0.16835044,0.4304696,0.98762653,9.871064e-10,2.1258612e-07,1.7041963e-05,0.0006002721,0.008315759,0,4.1624977e-09,5.883358e-06,0.004385579,0.98599057,0,0,1.6267797e-08,2.1805339e-05,0.010785006,3.6345825e-10,-1.0711738e-06,1.1345019e-06,2.3236795e-05,0.98904089,11.166943,0.09800478,0.32162217,0.045467201,0.14457838,0.39032747
