Time,INa,IKr,IKs,Ito1,IK1,IKp,INaCa,INaK,IpCa,ICab,INab,ICa,JDHPR,Jup,Jtrpn,Jtr,Jxfer,IKv43,IKv14,IKv14_K,IKv14_Na,Ito2,Istim,Itot
0.064,-8.89074e-13,0.604355,0.452473,0.0433742,0.0714686,0.190825,-0.485485,0.291521,0.026359,-0.0183359,-0.0575226,-2.88213,8.86521e-05,0.000320771,0.000510493,0.00053823,0.00128024,0.0265177,0.0168565,0.0170613,-0.000204859,2.19892,0,0.43582
0.065,-7.15295e-13,0.611626,0.455947,0.040965,0.0734067,0.18508,-0.515467,0.291365,0.0264433,-0.0183662,-0.0579975,-2.90773,8.94396e-05,0.0003226,0.00048961,0.000533097,0.00125411,0.0245743,0.0163906,0.016594,-0.000203364,2.1491,0,0.334373
0.066,-5.62143e-13,0.61963,0.460015,0.0388852,0.0748387,0.180875,-0.543619,0.291251,0.0265258,-0.0183632,-0.0583406,-2.70255,8.31284e-05,0.000324393,0.000469263,0.000528,0.00122562,0.0228809,0.0160042,0.0162058,-0.000201557,2.12252,0,0.491668
0.067,-4.4816e-13,0.627145,0.463598,0.0370186,0.0765687,0.17585,-0.573002,0.291115,0.0266028,-0.0183805,-0.0587466,-2.73922,8.42563e-05,0.000326079,0.000448295,0.000522771,0.00119991,0.0213816,0.015637,0.0158375,-0.000200441,1.91614,0,0.22469
0.068,-3.39291e-13,0.635847,0.468266,0.0353258,0.0777493,0.172456,-0.601558,0.291024,0.0266825,-0.018359,-0.0590186,-2.7354,8.41388e-05,0.000327833,0.000425502,0.000516771,0.00116024,0.0200019,0.0153239,0.0155227,-0.000198761,1.91615,0,0.209169
0.069,-2.61921e-13,0.643003,0.472251,0.0339124,0.0791443,0.168489,-0.629621,0.290917,0.0267527,-0.0183579,-0.0593349,-2.50018,7.69036e-05,0.000329387,0.000403765,0.000510914,0.00112528,0.0188707,0.0150417,0.0152395,-0.000197797,2.00176,0,0.508739
0.07,-2.08639e-13,0.649709,0.47551,0.0325831,0.0810562,0.163129,-0.659495,0.290772,0.0268168,-0.01839,-0.0597597,-2.47797,7.62205e-05,0.000330818,0.000380948,0.000504673,0.00108326,0.0178302,0.0147528,0.0149504,-0.000197603,1.92407,0,0.428033
0.071,-1.66935e-13,0.656144,0.478436,0.031422,0.0830349,0.157685,-0.688576,0.290623,0.0268745,-0.0184298,-0.0601893,-2.38196,7.32673e-05,0.000332113,0.000358963,0.000498368,0.00105138,0.0169318,0.0144902,0.014688,-0.000197728,1.85271,0,0.427774
0.072,-1.31899e-13,0.663366,0.48134,0.0302571,0.0853996,0.151326,-0.720963,0.290449,0.0269335,-0.0184849,-0.0606899,-2.33246,7.17446e-05,0.000333444,0.000335304,0.000491298,0.00100814,0.0160421,0.014215,0.0144132,-0.000198215,1.89123,0,0.487705
0.073,-1.06727e-13,0.670198,0.483648,0.0292431,0.0879405,0.144683,-0.752231,0.290263,0.0269844,-0.0185546,-0.061213,-2.42029,7.44464e-05,0.000334599,0.000312971,0.000484271,0.000970291,0.0152835,0.0139596,0.0141587,-0.000199098,1.84884,0,0.329502
